bin,county,primary_owner,primary_maintenance,condition_rating
7002631,ALBANY,60 - Railroad,60 - Railroad,0
7002632,ALBANY,60 - Railroad,60 - Railroad,0
7006580,ALBANY,60 - Railroad,60 - Railroad,0
7015960,ALBANY,60 - Railroad,60 - Railroad,
7018190,ALBANY,60 - Railroad,60 - Railroad,0
7022460,ALBANY,30 - County,30 - County,0
7022491,ALBANY,60 - Railroad,60 - Railroad,0
7022492,ALBANY,60 - Railroad,60 - Railroad,0
7025290,ALBANY,60 - Railroad,60 - Railroad,0
7025300,ALBANY,30 - County,30 - County,0
7032640,ALBANY,60 - Railroad,60 - Railroad,0
7032650,ALBANY,30 - County,30 - County,0
7032710,ALBANY,60 - Railroad,60 - Railroad,0
7038040,ALBANY,60 - Railroad,60 - Railroad,
7038610,ALBANY,30 - County,30 - County,0
7046170,ALBANY,30 - County,30 - County,0
7047500,ALBANY,60 - Railroad,60 - Railroad,0
7053420,ALBANY,60 - Railroad,60 - Railroad,0
7092300,ALBANY,NYSDOT,NYSDOT,5.182
7092890,ALBANY,60 - Railroad,60 - Railroad,0
7092900,ALBANY,60 - Railroad,60 - Railroad,0
7092960,ALBANY,NYSDOT,NYSDOT,5.98
7093000,ALBANY,NYSDOT,NYSDOT,5.306
7095960,ALBANY,20 - State - Other,20 - State - Other,0
7200339,ALBANY,60 - Railroad,60 - Railroad,0
7301220,ALBANY,60 - Railroad,60 - Railroad,0
7701710,ALBANY,20 - State - Other,20 - State - Other,0
7708990,ALBANY,60 - Railroad,60 - Railroad,0
7709000,ALBANY,20 - State - Other,20 - State - Other,4.672
7709011,ALBANY,60 - Railroad,60 - Railroad,0
7709012,ALBANY,60 - Railroad,60 - Railroad,0
7709021,ALBANY,60 - Railroad,60 - Railroad,0
7709022,ALBANY,60 - Railroad,60 - Railroad,0
7709023,ALBANY,60 - Railroad,60 - Railroad,0
770902A,ALBANY,60 - Railroad,60 - Railroad,0
